date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2022-06-02,Czech Republic,Switzerland,2.0,1.0,UEFA Nations League,Prague,Czech Republic,False
2022-06-02,Spain,Portugal,1.0,1.0,UEFA Nations League,Seville,Spain,False
2022-06-02,Serbia,Norway,0.0,1.0,UEFA Nations League,Belgrade,Serbia,False
2022-06-02,Slovenia,Sweden,0.0,2.0,UEFA Nations League,Ljubljana,Slovenia,False
2022-06-02,Ecuador,Nigeria,1.0,0.0,Friendly,Harrison,United States,True
2022-06-02,Japan,Paraguay,4.0,1.0,Friendly,Sapporo,Japan,False
2022-06-02,South Korea,Brazil,1.0,5.0,Friendly,Seoul,South Korea,False
2022-06-02,Mexico,Uruguay,0.0,3.0,Friendly,Glendale,United States,True
2022-06-03,Burkina Faso,Cape Verde,2.0,0.0,African Cup of Nations qualification,Marrakesh,Morocco,True
2022-06-03,Ivory Coast,Zambia,3.0,1.0,African Cup of Nations qualification,Yamoussoukro,Ivory Coast,False
2022-06-03,Croatia,Austria,0.0,3.0,UEFA Nations League,Osijek,Croatia,False
2022-06-03,France,Denmark,1.0,2.0,UEFA Nations League,Paris,France,False
2022-06-03,Belgium,Netherlands,1.0,4.0,UEFA Nations League,Brussels,Belgium,False
2022-06-04,Algeria,Uganda,2.0,0.0,African Cup of Nations qualification,Algiers,Algeria,False
2022-06-04,DR Congo,Gabon,0.0,1.0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2022-06-04,Senegal,Benin,3.0,1.0,African Cup of Nations qualification,Diamniadio,Senegal,False
2022-06-04,Hungary,England,1.0,0.0,UEFA Nations League,Budapest,Hungary,False
2022-06-04,Italy,Germany,1.0,1.0,UEFA Nations League,Bologna,Italy,False
2022-06-04,Finland,Bosnia and Herzegovina,1.0,1.0,UEFA Nations League,Helsinki,Finland,False
2022-06-05,Egypt,Guinea,1.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False
2022-06-05,Central African Republic,Ghana,1.0,1.0,African Cup of Nations qualification,Luanda,Angola,True
2022-06-05,Portugal,Switzerland,4.0,0.0,UEFA Nations League,Lisbon,Portugal,False
2022-06-05,Czech Republic,Spain,2.0,2.0,UEFA Nations League,Prague,Czech Republic,False
2022-06-05,Sweden,Norway,1.0,2.0,UEFA Nations League,Stockholm,Sweden,False
2022-06-05,Argentina,Estonia,5.0,0.0,Friendly,Pamplona,Spain,True
2022-06-05,Mexico,Ecuador,0.0,0.0,Friendly,Chicago,United States,True
2022-06-05,Saudi Arabia,Colombia,0.0,1.0,Friendly,Murcia,Spain,True
2022-06-05,United States,Uruguay,0.0,0.0,Friendly,Kansas City,United States,False
2022-06-06,Austria,Denmark,1.0,2.0,UEFA Nations League,Vienna,Austria,False
2022-06-06,Croatia,France,1.0,1.0,UEFA Nations League,Split,Croatia,False
2022-06-06,Japan,Brazil,0.0,1.0,Friendly,Tokyo,Japan,False
2022-06-07,Cape Verde,Togo,2.0,0.0,African Cup of Nations qualification,Marrakesh,Morocco,True
2022-06-07,Senegal,Rwanda,1.0,0.0,African Cup of Nations qualification,Diamniadio,Senegal,False
2022-06-07,Germany,England,1.0,1.0,UEFA Nations League,Munich,Germany,False
2022-06-07,Bosnia and Herzegovina,Romania,1.0,0.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
2022-06-07,United Arab Emirates,Australia,1.0,2.0,FIFA World Cup qualification,Al Rayyan,Qatar,True
2022-06-08,Tanzania,Algeria,0.0,2.0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
2022-06-08,Sudan,DR Congo,2.0,1.0,African Cup of Nations qualification,Omdurman,Sudan,False
2022-06-08,Wales,Netherlands,1.0,2.0,UEFA Nations League,Cardiff,Wales,False
2022-06-08,Belgium,Poland,6.0,1.0,UEFA Nations League,Brussels,Belgium,False
2022-06-09,Ethiopia,Egypt,2.0,0.0,African Cup of Nations qualification,Lilongwe,Malawi,True
2022-06-09,Lesotho,Ivory Coast,0.0,0.0,African Cup of Nations qualification,Soweto,South Africa,True
2022-06-09,Morocco,South Africa,2.0,1.0,African Cup of Nations qualification,Rabat,Morocco,False
2022-06-09,Canada,Curaçao,4.0,0.0,CONCACAF Nations League,Vancouver,Canada,False
2022-06-09,Portugal,Czech Republic,2.0,0.0,UEFA Nations League,Lisbon,Portugal,False
2022-06-09,Switzerland,Spain,0.0,1.0,UEFA Nations League,Geneva,Switzerland,False
2022-06-09,Norway,Slovenia,0.0,0.0,UEFA Nations League,Oslo,Norway,False
2022-06-09,Sweden,Serbia,0.0,1.0,UEFA Nations League,Stockholm,Sweden,False
2022-06-10,United States,Grenada,5.0,0.0,CONCACAF Nations League,Austin,United States,False
2022-06-10,Austria,France,1.0,1.0,UEFA Nations League,Vienna,Austria,False
2022-06-10,Denmark,Croatia,0.0,1.0,UEFA Nations League,Copenhagen,Denmark,False
2022-06-10,South Korea,Paraguay,2.0,2.0,Friendly,Suwon,South Korea,False
2022-06-10,Japan,Ghana,4.0,1.0,Kirin Cup,Kobe,Japan,False
2022-06-11,Mexico,Suriname,3.0,0.0,CONCACAF Nations League,Torreón,Mexico,False
2022-06-11,England,Italy,0.0,0.0,UEFA Nations League,Wolverhampton,England,False
2022-06-11,Hungary,Germany,1.0,1.0,UEFA Nations League,Budapest,Hungary,False
2022-06-11,Wales,Belgium,1.0,1.0,UEFA Nations League,Cardiff,Wales,False
2022-06-11,Netherlands,Poland,2.0,2.0,UEFA Nations League,Rotterdam,Netherlands,False
2022-06-11,Montenegro,Bosnia and Herzegovina,1.0,1.0,UEFA Nations League,Podgorica,Montenegro,False
2022-06-11,Ecuador,Cape Verde,1.0,0.0,Friendly,Fort Lauderdale,United States,True
2022-06-12,Spain,Czech Republic,2.0,0.0,UEFA Nations League,Málaga,Spain,False
2022-06-12,Switzerland,Portugal,1.0,0.0,UEFA Nations League,Geneva,Switzerland,False
2022-06-12,Norway,Sweden,3.0,2.0,UEFA Nations League,Oslo,Norway,False
2022-06-12,Iran,Algeria,1.0,2.0,Friendly,Doha,Qatar,True
2022-06-13,Australia,Peru,0.0,0.0,FIFA World Cup qualification,Al Rayyan,Qatar,True
2022-06-13,Morocco,Liberia,2.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False
2022-06-13,Honduras,Canada,2.0,1.0,CONCACAF Nations League,San Pedro Sula,Honduras,False
2022-06-13,Denmark,Austria,2.0,0.0,UEFA Nations League,Copenhagen,Denmark,False
2022-06-13,France,Croatia,0.0,1.0,UEFA Nations League,Paris,France,False
2022-06-14,Jamaica,Mexico,1.0,1.0,CONCACAF Nations League,Kingston,Jamaica,False
2022-06-14,El Salvador,United States,1.0,1.0,CONCACAF Nations League,San Salvador,El Salvador,False
2022-06-14,England,Hungary,0.0,4.0,UEFA Nations League,Wolverhampton,England,False
2022-06-14,Germany,Italy,5.0,2.0,UEFA Nations League,Mönchengladbach,Germany,False
2022-06-14,Netherlands,Wales,3.0,2.0,UEFA Nations League,Rotterdam,Netherlands,False
2022-06-14,Poland,Belgium,0.0,1.0,UEFA Nations League,Warsaw,Poland,False
2022-06-14,Bosnia and Herzegovina,Finland,3.0,2.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
2022-06-14,Chile,Ghana,0.0,0.0,Kirin Cup,Suita,Japan,True
2022-06-14,Japan,Tunisia,0.0,3.0,Kirin Cup,Suita,Japan,False
2022-06-14,South Korea,Egypt,4.0,1.0,Friendly,Seoul,South Korea,False
2022-07-13,South Africa,Mozambique,0.0,0.0,COSAFA Cup,KwaMashu,South Africa,False
2022-07-13,Senegal,Eswatini,1.0,1.0,COSAFA Cup,KwaMashu,South Africa,True
2022-07-15,South Africa,Madagascar,2.0,1.0,COSAFA Cup,Clermont,South Africa,False
2022-07-15,Zambia,Senegal,4.0,3.0,COSAFA Cup,Durban,South Africa,True
2022-07-17,South Africa,Botswana,2.0,1.0,COSAFA Cup,Clermont,South Africa,False
2022-07-17,Mozambique,Senegal,1.0,1.0,COSAFA Cup,Durban,South Africa,True
2022-07-19,Japan,Hong Kong,6.0,0.0,EAFF Championship,Kashima,Japan,False
2022-07-24,Japan,China,0.0,0.0,EAFF Championship,Toyota,Japan,False
2022-07-27,Japan,South Korea,3.0,0.0,EAFF Championship,Toyota,Japan,False
2022-08-31,Mexico,Paraguay,0.0,1.0,Friendly,Atlanta,United States,True
2022-09-22,Australia,New Zealand,1.0,0.0,Friendly,Brisbane,Australia,False
2022-09-22,Croatia,Denmark,2.0,1.0,UEFA Nations League,Zagreb,Croatia,False
2022-09-22,France,Austria,2.0,0.0,UEFA Nations League,Paris,France,False
2022-09-22,Belgium,Wales,2.0,1.0,UEFA Nations League,Brussels,Belgium,False
2022-09-22,Poland,Netherlands,0.0,2.0,UEFA Nations League,Warsaw,Poland,False
2022-09-23,Japan,United States,2.0,0.0,Kirin Challenge Cup,Düsseldorf,Germany,True
2022-09-23,Algeria,Guinea,1.0,0.0,Friendly,Oran,Algeria,False
2022-09-23,Argentina,Honduras,3.0,0.0,Friendly,Miami Gardens,United States,True
2022-09-23,Bahrain,Cape Verde,1.0,2.0,Friendly,Riffa,Bahrain,False
2022-09-23,Brazil,Ghana,3.0,0.0,Friendly,Le Havre,France,True
2022-09-23,Canada,Qatar,2.0,0.0,Friendly,Vienna,Austria,True
2022-09-23,DR Congo,Burkina Faso,0.0,1.0,Friendly,Casablanca,Morocco,True
2022-09-23,Egypt,Niger,3.0,0.0,Friendly,Alexandria,Egypt,False
2022-09-23,Morocco,Chile,2.0,0.0,Friendly,Barcelona,Spain,True
2022-09-23,Paraguay,United Arab Emirates,1.0,0.0,Friendly,Wiener Neustadt,Austria,True
2022-09-23,Saudi Arabia,Ecuador,0.0,0.0,Friendly,Murcia,Spain,True
2022-09-23,Germany,Hungary,0.0,1.0,UEFA Nations League,Leipzig,Germany,False
2022-09-23,Italy,England,1.0,0.0,UEFA Nations League,Milan,Italy,False
2022-09-23,Bosnia and Herzegovina,Montenegro,1.0,0.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
2022-09-24,Bolivia,Senegal,0.0,2.0,Friendly,Orléans,France,True
2022-09-24,Colombia,Guatemala,4.0,1.0,Friendly,Harrison,United States,True
2022-09-24,Ivory Coast,Togo,2.0,1.0,Friendly,Rouen,France,True
2022-09-24,Mexico,Peru,1.0,0.0,Friendly,Pasadena,United States,True
2022-09-24,South Africa,Sierra Leone,4.0,0.0,Friendly,Johannesburg,South Africa,False
2022-09-24,Czech Republic,Portugal,0.0,4.0,UEFA Nations League,Prague,Czech Republic,False
2022-09-24,Spain,Switzerland,1.0,2.0,UEFA Nations League,Zaragoza,Spain,False
2022-09-24,Slovenia,Norway,2.0,1.0,UEFA Nations League,Ljubljana,Slovenia,False
2022-09-24,Serbia,Sweden,4.0,1.0,UEFA Nations League,Belgrade,Serbia,False
2022-09-25,New Zealand,Australia,0.0,2.0,Friendly,Auckland,New Zealand,False
2022-09-25,Austria,Croatia,1.0,3.0,UEFA Nations League,Vienna,Austria,False
2022-09-25,Denmark,France,2.0,0.0,UEFA Nations League,Copenhagen,Denmark,False
2022-09-25,Netherlands,Belgium,1.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False
2022-09-26,England,Germany,3.0,3.0,UEFA Nations League,London,England,False
2022-09-26,Romania,Bosnia and Herzegovina,4.0,1.0,UEFA Nations League,Bucharest,Romania,False
2022-09-27,Algeria,Nigeria,2.0,1.0,Friendly,Oran,Algeria,False
2022-09-27,Argentina,Jamaica,3.0,0.0,Friendly,Harrison,United States,True
2022-09-27,Brazil,Tunisia,5.0,1.0,Friendly,Paris,France,True
2022-09-27,Canada,Uruguay,0.0,2.0,Friendly,Bratislava,Slovakia,True
2022-09-27,DR Congo,Sierra Leone,3.0,0.0,Friendly,Casablanca,Morocco,True
2022-09-27,Ecuador,Japan,0.0,0.0,Kirin Challenge Cup,Düsseldorf,Germany,True
2022-09-27,Egypt,Liberia,3.0,0.0,Friendly,Alexandria,Egypt,False
2022-09-27,Ghana,Nicaragua,1.0,0.0,Friendly,Lorca,Spain,True
2022-09-27,Iran,Senegal,1.0,1.0,Friendly,Maria Enzersdorf,Austria,True
2022-09-27,Ivory Coast,Guinea,3.0,1.0,Friendly,Amiens,France,True
2022-09-27,Mexico,Colombia,2.0,3.0,Friendly,Santa Clara,United States,True
2022-09-27,Paraguay,Morocco,0.0,0.0,Friendly,Seville,Spain,True
2022-09-27,Saudi Arabia,United States,0.0,0.0,Friendly,Murcia,Spain,True
2022-09-27,South Africa,Botswana,1.0,0.0,Friendly,Johannesburg,South Africa,False
2022-09-27,Portugal,Spain,0.0,1.0,UEFA Nations League,Braga,Portugal,False
2022-09-27,Switzerland,Czech Republic,2.0,1.0,UEFA Nations League,St. Gallen,Switzerland,False
2022-09-27,Norway,Serbia,0.0,2.0,UEFA Nations League,Oslo,Norway,False
2022-09-27,Sweden,Slovenia,1.0,1.0,UEFA Nations League,Stockholm,Sweden,False
2022-11-09,Mexico,Iraq,4.0,0.0,Friendly,Girona,Spain,True
2022-11-11,Bahrain,Canada,2.0,2.0,Friendly,Isa Town,Bahrain,False
2022-11-12,Iraq,Ecuador,0.0,0.0,Friendly,Madrid,Spain,True
2022-11-13,Syria,Algeria,0.0,1.0,Friendly,Sharjah,United Arab Emirates,True
2022-11-16,Algeria,Mali,1.0,1.0,Friendly,Oran,Algeria,False
2022-11-16,Andorra,Austria,0.0,1.0,Friendly,Málaga,Spain,True
2022-11-16,Ivory Coast,Burundi,4.0,0.0,Friendly,Marrakesh,Morocco,True
2022-11-16,Mexico,Sweden,1.0,2.0,Friendly,Girona,Spain,True
2022-11-16,Oman,Germany,0.0,1.0,Friendly,Muscat,Oman,False
2022-11-16,Peru,Paraguay,1.0,0.0,Friendly,Lima,Peru,False
2022-11-16,Saudi Arabia,Croatia,0.0,1.0,Friendly,Riyadh,Saudi Arabia,False
2022-11-16,United Arab Emirates,Argentina,0.0,5.0,Friendly,Abu Dhabi,United Arab Emirates,False
2022-11-17,Japan,Canada,1.0,2.0,Friendly,Dubai,United Arab Emirates,True
2022-11-17,Jordan,Spain,1.0,3.0,Friendly,Amman,Jordan,False
2022-11-17,Morocco,Georgia,3.0,0.0,Friendly,Sharjah,United Arab Emirates,True
2022-11-17,Portugal,Nigeria,4.0,0.0,Friendly,Lisbon,Portugal,False
2022-11-17,Republic of Ireland,Norway,1.0,2.0,Friendly,Dublin,Republic of Ireland,False
2022-11-17,South Africa,Mozambique,2.0,1.0,Friendly,Mbombela,South Africa,False
2022-11-17,Switzerland,Ghana,0.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,True
2022-11-18,Egypt,Belgium,2.0,1.0,Friendly,Kuwait City,Kuwait,True
2022-11-19,Colombia,Paraguay,2.0,0.0,Friendly,Fort Lauderdale,United States,True
2022-11-19,Ivory Coast,Burkina Faso,1.0,2.0,Friendly,Marrakesh,Morocco,True
2022-11-19,Sweden,Algeria,2.0,0.0,Friendly,Malmö,Sweden,False
2022-11-20,Austria,Italy,2.0,0.0,Friendly,Vienna,Austria,False
2022-11-20,Norway,Finland,1.0,1.0,Friendly,Oslo,Norway,False
2022-11-20,South Africa,Angola,1.0,1.0,Friendly,Mbombela,South Africa,False
2022-11-20,Qatar,Ecuador,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False
2022-11-21,Senegal,Netherlands,0.0,2.0,FIFA World Cup,Doha,Qatar,True
2022-11-21,England,Iran,6.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-21,United States,Wales,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-22,Argentina,Saudi Arabia,1.0,2.0,FIFA World Cup,Lusail,Qatar,True
2022-11-22,Mexico,Poland,0.0,0.0,FIFA World Cup,Doha,Qatar,True
2022-11-22,France,Australia,4.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True
2022-11-23,Germany,Japan,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-23,Spain,Costa Rica,7.0,0.0,FIFA World Cup,Doha,Qatar,True
2022-11-23,Morocco,Croatia,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True
2022-11-23,Belgium,Canada,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-24,Switzerland,Cameroon,1.0,0.0,FIFA World Cup,Al Wakrah,Qatar,True
2022-11-24,Brazil,Serbia,2.0,0.0,FIFA World Cup,Lusail,Qatar,True
2022-11-24,Portugal,Ghana,3.0,2.0,FIFA World Cup,Doha,Qatar,True
2022-11-25,Qatar,Senegal,1.0,3.0,FIFA World Cup,Doha,Qatar,False
2022-11-25,Netherlands,Ecuador,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-25,England,United States,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True
2022-11-26,Argentina,Mexico,2.0,0.0,FIFA World Cup,Lusail,Qatar,True
2022-11-26,Tunisia,Australia,0.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True
2022-11-26,France,Denmark,2.0,1.0,FIFA World Cup,Doha,Qatar,True
